iter	Passed	Remaining
0	1	168
1	3	154
2	4	147
3	5	137
4	7	136
5	8	136
6	10	136
7	11	135
8	13	136
9	15	135
10	16	134
11	18	132
12	19	130
13	20	128
14	22	127
15	23	125
16	25	123
17	26	121
18	28	121
19	30	121
20	32	120
21	33	119
22	35	117
23	36	116
24	38	115
25	40	113
26	41	112
27	43	111
28	44	109
29	46	107
30	47	105
31	48	103
32	50	102
33	52	100
34	53	99
35	54	97
36	56	95
37	57	94
38	59	92
39	60	90
40	62	89
41	62	86
42	64	85
43	65	83
44	67	82
45	68	80
46	70	79
47	72	78
48	74	77
49	75	75
50	77	74
51	79	73
52	81	72
53	83	71
54	84	69
55	87	68
56	89	67
57	90	65
58	92	64
59	94	62
60	95	61
61	97	59
62	98	57
63	100	56
64	102	55
65	103	53
66	105	52
67	107	50
68	108	48
69	109	47
70	111	45
71	112	43
72	114	42
73	115	40
74	117	39
75	119	37
76	121	36
77	122	34
78	124	33
79	125	31
80	127	29
81	128	28
82	130	26
83	131	25
84	133	23
85	135	22
86	136	20
87	138	18
88	139	17
89	140	15
90	142	14
91	143	12
92	145	10
93	147	9
94	148	7
95	149	6
96	151	4
97	152	3
98	154	1
99	155	0
