iter	Passed	Remaining
0	1601	1600238
1	1606	801865
2	1612	535725
3	1615	402358
4	1621	322717
5	1625	269340
6	1630	231251
7	1635	202744
8	1639	180508
9	1644	162796
10	1648	148202
11	1652	136059
12	1656	125796
13	1660	116979
14	1663	109230
15	1667	102563
16	1671	96650
17	1675	91422
18	1681	86808
19	1683	82506
20	1686	78615
21	1688	75076
22	1692	71883
23	1694	68923
24	1697	66199
25	1700	63685
26	1702	61365
27	1705	59220
28	1708	57200
29	1709	55285
30	1711	53494
31	1712	51814
32	1714	50235
33	1715	48751
34	1717	47349
35	1719	46033
36	1721	44796
37	1722	43611
38	1724	42485
39	1725	41415
40	1727	40397
41	1728	39429
42	1730	38507
43	1731	37629
44	1733	36791
45	1735	35993
46	1736	35220
47	1738	34478
48	1739	33766
49	1741	33084
50	1742	32431
51	1744	31800
52	1745	31194
53	1747	30610
54	1749	30056
55	1751	29517
56	1752	28992
57	1753	28484
58	1755	27995
59	1756	27521
60	1758	27062
61	1759	26626
62	1761	26198
63	1762	25782
64	1764	25383
65	1766	24995
66	1767	24617
67	1769	24251
68	1771	23900
69	1772	23552
70	1774	23215
71	1775	22886
72	1777	22566
73	1779	22264
74	1780	21961
75	1782	21666
76	1783	21378
77	1784	21097
78	1786	20824
79	1787	20558
80	1789	20298
81	1790	20045
82	1791	19790
83	1792	19550
84	1794	19319
85	1796	19090
86	1797	18866
87	1799	18646
88	1800	18431
89	1802	18220
90	1803	18015
91	1804	17813
92	1806	17616
93	1808	17428
94	1809	17242
95	1811	17057
96	1812	16874
97	1814	16697
98	1818	16549
99	1820	16384
100	1822	16222
101	1824	16066
102	1826	15906
103	1828	15748
104	1829	15595
105	1831	15444
106	1832	15296
107	1834	15151
108	1835	15008
109	1838	14874
110	1840	14739
111	1841	14603
112	1843	14470
113	1845	14339
114	1846	14210
115	1848	14084
116	1849	13957
117	1851	13835
118	1853	13725
119	1855	13610
120	1857	13493
121	1858	13377
122	1860	13265
123	1861	13154
124	1863	13043
125	1864	12936
126	1866	12827
127	1868	12725
128	1869	12624
129	1871	12522
130	1872	12424
131	1874	12327
132	1876	12233
133	1878	12138
134	1879	12044
135	1881	11952
136	1885	11874
137	1886	11784
138	1888	11696
139	1889	11609
140	1891	11522
141	1892	11433
142	1893	11349
143	1895	11265
144	1896	11183
145	1898	11107
146	1900	11028
147	1901	10949
148	1903	10870
149	1904	10793
150	1906	10717
151	1907	10642
152	1909	10568
153	1910	10494
154	1911	10422
155	1914	10357
156	1915	10287
157	1917	10217
158	1918	10148
159	1920	10080
160	1921	10010
161	1922	9944
162	1923	9878
163	1925	9813
164	1926	9749
165	1928	9689
166	1930	9628
167	1931	9566
168	1933	9505
169	1934	9444
170	1935	9385
171	1937	9326
172	1938	9268
173	1940	9210
174	1941	9153
175	1943	9097
176	1945	9043
177	1947	8992
178	1948	8939
179	1950	8885
180	1952	8832
181	1953	8782
182	1955	8729
183	1956	8677
184	1958	8626
185	1959	8575
186	1961	8527
187	1963	8479
188	1964	8430
189	1966	8381
190	1967	8333
191	1968	8285
192	1970	8238
193	1971	8191
194	1972	8144
195	1974	8098
196	1976	8055
197	1978	8012
198	1979	7967
199	1980	7923
200	1982	7880
201	1983	7836
202	1985	7793
203	1986	7751
204	1988	7709
205	1989	7668
206	1991	7629
207	1993	7589
208	1994	7549
209	1996	7509
210	1997	7469
211	1998	7429
212	2000	7390
213	2001	7351
214	2003	7313
215	2004	7275
216	2006	7240
217	2008	7203
218	2009	7166
219	2010	7129
220	2012	7092
221	2013	7056
222	2015	7021
223	2016	6985
224	2017	6950
225	2019	6915
226	2021	6882
227	2022	6849
228	2024	6815
229	2025	6781
230	2027	6748
231	2028	6714
232	2029	6681
233	2031	6649
234	2032	6616
235	2034	6584
236	2036	6555
237	2037	6523
238	2039	6492
239	2040	6461
240	2041	6430
241	2043	6399
242	2044	6369
243	2045	6339
244	2047	6309
245	2048	6279
246	2050	6250
247	2051	6222
248	2053	6193
249	2055	6165
250	2057	6138
251	2058	6111
252	2060	6083
253	2061	6054
254	2062	6027
255	2064	5999
256	2066	5974
257	2068	5947
258	2069	5920
259	2070	5894
260	2072	5867
261	2073	5841
262	2075	5815
263	2076	5789
264	2077	5763
265	2079	5737
266	2080	5712
267	2082	5687
268	2083	5661
269	2085	5638
270	2087	5614
271	2088	5589
272	2089	5565
273	2091	5540
274	2092	5516
275	2093	5492
276	2095	5468
277	2096	5445
278	2098	5421
279	2100	5400
280	2101	5377
281	2103	5355
282	2104	5332
283	2105	5309
284	2107	5286
285	2108	5264
286	2110	5242
287	2111	5220
288	2113	5199
